Company Name,Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Abergelli,Solar,PV,No,Solar,,7.68222,LV,Wales,Wales,SA57NN,,265507.0,202009.0,2015
Anesco,Anglesey ,Solar,PV,No,Solar,,14.92608,LV,Wales,Wales,LL635SZ,,238717.0,367342.0,2014
Anesco,Biglis,Solar,PV,No,Solar,,4.973,LV,Wales,Wales,CF631BL,,,,2016
Anesco,Darran,Solar,PV,No,Solar,,1.823,LV,Wales,Wales,,,,,2017
Anesco,Derwyn,Solar,PV,No,Solar,,4.664,LV,Wales,Wales,CF623AA,,,,2016
Anesco,Jordanston,Solar,PV,No,Solar,,4.631,LV,Wales,Wales,SA708NQ,,,,2013
Anesco,Michaelston,Solar,PV,No,Solar,,4.17428,LV,Wales,Wales,CF36XS,,322998.0,183674.0,2016
Anesco,Nanthenfoel,Solar,PV,No,Solar,,4.99684,LV,Wales,Wales,SA487NP,,254014.0,252465.0,2017
Anesco,Oak Cottage,Solar,PV,No,Solar,,4.8672,LV,Wales,Wales,SA624PR,,202839.0,217801.0,2015
Anesco,Parcstormy,Solar,PV,No,Solar,,0.7,LV,Wales,Wales,CF334RS,,,,2013
Anesco,Pen-Y-Cae,Solar,PV,No,Solar,,6.76227,LV,Wales,Wales,SA183BJ,,260143.0,211806.0,2015
Anesco,Saron,Solar,PV,No,Solar,,6.33258,LV,Wales,Wales,SA183TW,,260904.0,212664.0,2015
Anesco,Waycock,Solar,PV,No,Solar,,7.35678,LV,Wales,Wales,CF623AA,,,,2016
Babcock International and Fluor Inc,Maentwrog,Hydro,Natural Flow,No,Hydro,,35.3,HV,Wales,Wales,LL414HY,,267297.81261199998,337806.87196800002,1928
BayWa R.E,Tir Mostyn & Foel Goch Ltd,Wind,Onshore,No,Wind,,21.25,HV,Wales,Wales,LL165RN,,300300.0,358800.0,2005
Capital Dynamics UK,Rymes,Solar,PV,No,Solar,,4.9908,LV,Wales,Wales,,,,,2017
Capital Dynamics UK,Ysgellog,Wind,Onshore,No,Wind,,4.6,LV,Wales,Wales,LL060AW,,240490.0,391238.0,2013
Ecotricity,Cardiff,Wind,Onshore,No,Wind,,2.3,LV,Wales,Wales,CF32EE,,323460.0,179215.0,2011
EDF Energy,Cemmaes,Wind,Onshore,No,Wind,,15.3,LV,Wales,Wales,SY209PR,,286800.0,306000.0,2002
EDF Energy,Llangwyryfon,Wind,Onshore,No,Wind,,9.35,LV,Wales,Wales,SY234SR,,261752.0,269577.0,2003
European Energy A/S,Parc Cynog,Wind,Onshore,No,Wind,,3.6,LV,Wales,Wales,,,225500.0,209500.0,2001
European Energy A/S,Pendine Wind Farm Limited,Wind,Onshore,No,Wind,,4.8,LV,Wales,Wales,,,225230.0,209760.0,2009
European Energy A/S,PV@Pendine Solar Farm,Solar,PV,No,Solar,,4.9,LV,Wales,Wales,,,224103.0,210103.0,2016
Falck Renewables SpA,Cambrian,Wind,Onshore,No,Wind,,58.5,LV,Wales,Wales,SY233LE,,281000.0,280000.0,2005
Foresight Group,Moel Moelogan,Wind,Onshore,No,Wind,,2.6,HV,Wales,Wales,,,284619.0,362203.0,2003
Foresight Group,Moel Moelogan 2,Wind,Onshore,No,Wind,,11.7,HV,Wales,Wales,,,284700.0,361300.0,2008
Foresight Group,Shotwick,Solar,PV,No,Solar,,72.21,LV,Wales,Wales,CH52UA,,332888.0,371036.0,2016
Greencoat Capital,Berthllwyd,Solar,PV,No,Solar,,4.964775,LV,Wales,Wales,CF371PS,,307796.0,188016.0,2017
Greencoat Capital,Bryn Bachau,Solar,PV,No,Solar,,4.57215,LV,Wales,Wales,LL536RQ,,243136.0,336998.0,2016
Greencoat Capital,Carmarthen,Solar,PV,No,Solar,,4.7012,LV,Wales,Wales,SA312LS,,0.0,0.0,2017
Greencoat Capital,Cockett Valley,Solar,PV,No,Solar,,4.99928,LV,Wales,Wales,SA54TH,,260884.0,195188.0,2017
Greencoat Capital,Hoplass,Solar,PV,No,Solar,,10.3428,LV,Wales,Wales,SA715TG,,190875.0,200362.0,2015
Greencoat Capital,Kinmel 1,Solar,PV,No,Solar,,4.9986,LV,Wales,Wales,LL229SD,,,,2016
Greencoat Capital,Kinmel 2,Solar,PV,No,Solar,,4.992,LV,Wales,Wales,LL229SG,,,,2016
Greencoat Capital,Llancayo,Solar,PV,No,Solar,,4.91,LV,Wales,Wales,NP151HY,,336790.0,203067.0,2011
Greencoat Capital,LowerHouse,Solar,PV,No,Solar,,8.22369,LV,Wales,Wales,NP151JU,,334870.0,204817.0,2016
Greencoat Capital,Maerdy,Wind,Onshore,No,Wind,,24,LV,Wales,Wales,,,295390.0,199853.0,2013
Greencoat Capital,Pantymoch,Solar,PV,No,Solar,,4.992,LV,Wales,Wales,SA132UT,,277876.0,190467.0,2016
Greencoat Capital,Pantymoch CIC,Solar,PV,No,Solar,,4.896,LV,Wales,Wales,SA132UT,,277876.0,190467.0,2016
Greencoat Capital,Rhewl 1,Solar,PV,No,Solar,,3.04152,LV,Wales,Wales,NP166AG,,,,2016
Greencoat Capital,Rhewl 2,Solar,PV,No,Solar,,3.07164,LV,Wales,Wales,NP166AG,,,,2016
Greencoat Capital,Seaview,Solar,PV,No,Solar,,1.8774,LV,Wales,Wales,CF365TB,,282388.0,178878.0,2016
Greencoat Capital,Sudbrook,Solar,PV,No,Solar,,4.998,LV,Wales,Wales,NP265SR,,350024.0,187852.0,2016
Lightsource BP,Acrefair,Solar,PV,No,Solar,,4.997,LV,Wales,Wales,LL141TU,,328224.0,343948.0,2015
Lightsource BP,Brynteg,Solar,PV,No,Solar,,14.78664,LV,Wales,Wales,SA154ND,,249621.0,203809.0,2014
Lightsource BP,Crundale,Solar,PV,No,Solar,,43.66428,LV,Wales,Wales,SA624PY,,198922.0,217459.0,2015
Lightsource BP,Cwrt Henllys,Solar,PV,No,Solar,,4.99252,LV,Wales,Wales,NP447AS,,326262.0,191423.0,2016
Lightsource BP,Ffos Las,Solar,PV,No,Solar,,4.9968,LV,Wales,Wales,,,245478.0,205296.0,2012
Lightsource BP,Gelli Gron,Solar,PV,No,Solar,,3.596985,LV,Wales,Wales,LL536DQ,,241787.0,339725.0,2016
Lightsource BP,Hill Farm,Solar,PV,No,Solar,,7.6934,LV,Wales,Wales,NP117BB,,319254.0,192650.0,2015
Lightsource BP,Langton (FIT),Solar,PV,No,Solar,,4.3472,LV,Wales,Wales,SA659RH,,194473.0,233813.0,2015
Lightsource BP,Little Neath,Solar,PV,No,Solar,,6.13505,LV,Wales,Wales,SA715AA,,191001.0,200291.0,2015
Lightsource BP,Maes Bach,Solar,PV,No,Solar,,4.5594,LV,Wales,Wales,CF381SL,,310571.0,185789.0,2015
Lightsource BP,Morfa,Solar,PV,No,Solar,,1.99899,LV,Wales,Wales,CF612YT,,258062.0,301195.0,2016
Lightsource BP,Nefyn (Tyddyn Cae),Solar,PV,No,Solar,,4.92154,LV,Wales,Wales,LL536DS,,233416.0,338035.0,2015
Lightsource BP,North Tenement,Solar,PV,No,Solar,,4.9979,LV,Wales,Wales,SA623NX,,193951.0,212945.0,2017
Lightsource BP,Park Farm West ,Solar,PV,No,Solar,,3.93484,LV,Wales,Wales,NP183NY,,331876.0,191657.0,2017
Lightsource BP,Pen Rhiw ,Solar,PV,No,Solar,,4.748005,LV,Wales,Wales,CF453UX,,304596.0,197986.0,2017
Lightsource BP,Pont Andrew,Solar,PV,No,Solar,,1.5443,LV,Wales,Wales,CF449UL,,252617.0,210675.0,2012
Lightsource BP,Treguff,Solar,PV,No,Solar,,3.736465,LV,Wales,Wales,CF715LT,,302265.0,171141.0,2015
Lightsource BP,West Farm,Solar,PV,No,Solar,,7.63,LV,Wales,Wales,SA724UN,,199608.0,203981.0,2013
Octopus Investments,Bryn Yr Odyn,Solar,PV,No,Solar,,14.8971,LV,Wales,Wales,LL625DE,,239600.0,373400.0,2015
Octopus Investments,Corntown Solar,Solar,PV,No,Solar,,2.4832,LV,Wales,Wales,CF355FB,,293545.0,177153.0,2017
Octopus Investments,Parciau,Solar,PV,No,Solar,,12.71946,LV,Wales,Wales,LL551TS,,250255.0,365482.0,2015
Octopus Investments,Penyrheollas,Solar,PV,No,Solar,,4.98624,LV,Wales,Wales,NP120HY,,318604.0,201211.0,2017
Octopus Investments,Singrug,Solar,PV,No,Solar,,11.99588,LV,Wales,Wales,NP122BG,,319137.0,193566.0,2015
Octopus Investments,Stormy Down,Solar,PV,No,Solar,,4.672,LV,Wales,Wales,CF334RS,,284154.0,180554.0,2017
Octopus Investments,Sutton Mawr,Solar,PV,No,Solar,,7.524,LV,Wales,Wales,CF623AB,,307224.0,170024.0,2014
Octopus Investments,Trench Farm,Solar,PV,No,Solar,,4.99698,LV,Wales,Wales,LL130NA,,338419.0,339068.0,2015
Octopus Investments,West Hall,Solar,PV,No,Solar,,5.511,LV,Wales,Wales,CF624ZW,,302476.0,166946.0,2014
Pennant Walters,Maesgwyn,Wind,Onshore,No,Wind,,26,HV,Wales,Wales,,SASN86400890,285500.0,205500.0,2011
Pennant Walters,Maesgwyn Extension,Wind,Onshore,No,Wind,,2.5,HV,Wales,Wales,,SN8710908818,286568.0,205930.0,2017
Pennant Walters,Maesgwyn Solar,Solar,PV,No,Solar,,2.5,LV,Wales,Wales,,SASN86400890,288678.0,207067.0,2017
Pennant Walters,Mynydd Bwllfa,Wind,Onshore,No,Wind,,22.5,HV,Wales,Wales,CF449NB,,295979.0,205172.0,2015
Pennant Walters,Pant y Wal,Wind,Onshore,No,Wind,,52.5,HV,Wales,Wales,CF356ED,,295886.0,191521.0,2013
Pennant Walters,Pant y Wal Extension,Wind,Onshore,No,Wind,,20,HV,Wales,Wales,CF356ED,,294649.0,188695.0,2017
Quintas Energy,Pen y cae,Solar,PV,No,Solar,,4.96944,LV,Wales,Wales,LL141TP,,328970.0,344020.0,2016
RES Group,Braich Ddu,Wind,Onshore,No,Wind,,3.9,LV,Wales,Wales,,,267500.0,301500.0,2007
RES Group,"Castle Pill Farm 1 - A, C",Wind,Onshore,No,Wind,,3.148,HV,Wales,Wales,,,192398.0,207108.0,2004
RES Group,Dyffryn Brodyn Wind Farm (GB),Wind,Onshore,No,Wind,,5.4,LV,Wales,Wales,SA340JE,,222100.0,226800.0,1994
RES Group,Ferndale Wind Farm,Wind,Onshore,No,Wind,,6.4,HV,Wales,Wales,,,299700.0,195700.0,2011
RES Group,Garreg Llwyd (GB),Wind,Onshore,No,Wind,,30.4,LV,Wales,Wales,LD16YS,,294491.0,272407.0,2017
RES Group,Llynfi Afan Renewable Energy Limited,Wind,Onshore,No,Wind,,24,HV,Wales,Wales,,,289252.0,196198.0,2017
RES Group,Mynydd Brombil,Wind,Onshore,No,Wind,,8,LV,Wales,Wales,,,279141.0,188569.0,2017
RES Group,Mynydd Portref,Wind,Onshore,No,Wind,,12,LV,Wales,Wales,,,298897.0,185178.0,2017
RES Group,Pen Bryn Oer Wind Farm,Wind,Onshore,No,Wind,,6,LV,Wales,Wales,,,312065.0,209235.0,2017
RES Group,SPD 4  - Gelliwern,Solar,PV,No,Solar,,6.24,LV,Wales,Wales,,SN626019,262382.0,202019.0,2015
RES Group,Wear Point Wind Farm,Wind,Onshore,No,Wind,,8.2,HV,Wales,Wales,,,193041.0,204629.0,2014
RWE Npower,Brechfa Forest West,Wind,Onshore,No,Wind,,57.4,HV,Wales,Wales,,,251493.0,233864.0,2018
RWE Npower,Clocaenog Forest,Wind,Onshore,No,Wind,,96,HV,Wales,Wales,,,301568.0,359344.0,2019
RWE Npower,Croesor,Hydro,Natural Flow,No,Hydro,,0.505,LV,Wales,Wales,,,264900.0,346000.0,1999
RWE Npower,Cwm Dyli,Hydro,Natural Flow,No,Hydro,,9.9,LV,Wales,Wales,,,257976.51233200001,360502.84342500003,2002
RWE Npower,Dulyn,Hydro,Natural Flow,No,Hydro,,0.505,LV,Wales,Wales,,,277754.0,368358.0,1998
RWE Npower,Garnedd,Hydro,Natural Flow,No,Hydro,,0.56,LV,Wales,Wales,,,269641.31455499999,353035.80387900001,1990
RWE Npower,Gwynt y Mor,Wind,Offshore,No,Wind,,576,HV,Wales,Wales,,SH9482396924,292082.0,396482.0,2013
RWE Npower,High Head,Hydro,Natural Flow,No,Hydro,,17,LV,Wales,Wales,,,276927.54900200001,367625.06313700002,2002
RWE Npower,Low Head,Hydro,Natural Flow,No,Hydro,,14.98,LV,Wales,Wales,,,276927.54900200001,367625.06313700002,2002
RWE Npower,Mynydd y Gwair,Wind,Onshore,No,Wind,,32.8,HV,Wales,Wales,,,265400.0,208320.0,2019
RWE Npower,North Hoyle,Wind,Offshore,No,Wind,,60,LV,Wales,Wales,,SJ0383892229,303823.0,392138.0,2004
RWE Npower,Pembroke,Fossil Fuel,CCGT,No,Natural Gas,,2199,HV,Wales,Wales,SA715SS,,193370.0,200137.0,2012
RWE Npower,Rhyd y Groes,Wind,Onshore,No,Wind,,6.6,LV,Wales,Wales,,,238500.0,393000.0,1992
RWE Npower,Rhyl Flats,Wind,Offshore,No,Wind,,90,LV,Wales,Wales,,SH9024488299,290990.0,388002.0,2009
Scottish Power,P&L,Wind,Onshore,No,Wind,,30.6,LV,Wales,Wales,SY164BP,,302860.0,288543.0,1993
Statkraft,Alltwalis,Wind,Onshore,No,Wind,,23,HV,Wales,Wales,SA327ED,,246387.0,233404.0,2009
Statkraft,Rheidol Hydro Scheme Gen 1,Hydro,Natural Flow,No,Hydro,,13.5,LV,Wales,Wales,,,270466.35895199998,279169.77504799998,1962
Statkraft,Rheidol Hydro Scheme Gen 2,Hydro,Natural Flow,No,Hydro,,20.5,LV,Wales,Wales,,,274692.23303100001,283465.92701300001,1962
Statkraft,Rheidol Hydro Scheme Gen 3,Hydro,Natural Flow,No,Hydro,,20.5,LV,Wales,Wales,,,274692.23303100001,283465.92701300001,1962
Statkraft,Rheidol Hydro Scheme Gen 4,Hydro,Natural Flow,No,Hydro,,1.25,LV,Wales,Wales,,,270704.12983400002,279283.03561399999,1961
Statkraft,Rheidol Hydro Scheme Gen 5,Hydro,Natural Flow,No,Hydro,,0.075,LV,Wales,Wales,,,275303.156097,283745.93445200002,1963
Statkraft,Rheidol Hydro Scheme Gen 6,Hydro,Natural Flow,No,Hydro,,0.05,LV,Wales,Wales,,,274692.23303100001,283465.92701300001,1963
Statkraft,Rheidol Hydro Scheme Gen 7,Hydro,Natural Flow,No,Hydro,,0.1,LV,Wales,Wales,,,270704.12983400002,279283.03561399999,1985
Toucan Energy Services,Chapel Hill,Solar,PV,No,Solar,,10.07032,LV,Wales,Wales,SA715HY,,196092.0,197842.0,2015
Toucan Energy Services,Hendai,Solar,PV,No,Solar,,13.39536,LV,Wales,Wales,,"CF828FU	",312392.0,197842.0,2015
Toucan Energy Services,Hendre Fawr,Solar,PV,No,Solar,,11.6259,LV,Wales,Wales,CF449RJ,,291347.0,206062.0,2015
Toucan Energy Services,Rhydypandy,Solar,PV,No,Solar,,6.38011,LV,Wales,Wales,SA66NX,,265957.0,200658.0,2015
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Sour Gas,,1380,HV,Wales,Wales,CH54BP,,328878.0,368331.0,1996
Vattenfall,Pen Y Cymoedd,Wind,Onshore,No,Wind,,228,HV,Wales,Wales,,,292879.0,199365.0,2016
Venitent Energy Services,Bryn Titli,Wind,Onshore,No,Wind,,9.9,LV,Wales,Wales,SY186RX,,293500.0,275500.0,1994
Venitent Energy Services,Carno,Wind,Onshore,No,Wind,,33.6,LV,Wales,Wales,SY175JT,,291053.0,295836.0,1996
Venitent Energy Services,Ffynnon Oer,Wind,Onshore,No,Wind,,32,LV,Wales,Wales,SA133LG,,285500.0,205500.0,2006
Venitent Energy Services,Llyn Alaw,Wind,Onshore,No,Wind,,20.4,LV,Wales,Wales,LL680TB,,236000.0,387000.0,1997
Venitent Energy Services,Mynydd Clogau,Wind,Onshore,No,Wind,,14.45,LV,Wales,Wales,SY163DQ,,303300.0,298800.0,2006
Venitent Energy Services,Mynydd Gorddu,Wind,Onshore,No,Wind,,10.2,LV,Wales,Wales,SY245DP,,266200.0,287200.0,1998
Venitent Energy Services,Rheidol,Wind,Onshore,No,Wind,,2.4,LV,Wales,Wales,SY233N,,272400.0,280500.0,1997
Venitent Energy Services,Taff Ely,Wind,Onshore,No,Wind,,9,LV,Wales,Wales,CF398DJ,,297000.0,186000.0,1993
Venitent Energy Services,Trysglwyn,Wind,Onshore,No,Wind,,5.6,LV,Wales,Wales,LL689RF,,244000.0,389000.0,1996
WPO UK Services,Caergarw,Solar,PV,No,Solar,,4.934,LV,Wales,Wales,,SS8105383495,,,2017
WPO UK Services,Crumlin,Solar,PV,No,Solar,,4.55,LV,Wales,Wales,,ST2032097981,,,2016
WPO UK Services,Robert's Wall,Solar,PV,No,Solar,,2.56,LV,Wales,Wales,,SN1001400495,,,2015
WPO UK Services,Rosedew,Solar,PV,No,Solar,,4.98,LV,Wales,Wales,,SS9126567595,,,2016
