,,,,EU ETS,,,,,,,,UK ETS,,
Installation,UK ETS Account holder name,Broad sector,Subsector,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Horizon Air LLP,Not in UK ETS,Airline operator,Airline operator, -   , -   , -   , -   , -   , -   , -   , -   ,  ,,  
Iceland Holding Account,Flexible Generation Ltd,Airline operator,Airline operator, -   , 953 , 974 , -   , -   , -   , -   , -   ,  ,,  
Aberthaw Cement Plant,Tarmac Cement and Lime Limited,Industry,Cement," 331,621 "," 357,505 "," 345,472 "," 337,661 "," 333,126 "," 336,474 "," 365,472 "," 325,244 "," 346,236 ",358090," 284,212 "
Airbus UK Limited - Broughton,Airbus Operations Limited,Industry,Vehicles," 39,526 "," 35,157 "," 35,964 "," 37,039 "," 35,311 "," 36,105 "," 35,321 "," 33,734 "," 25,946 ",21075," 19,642 "
Anglesey Aluminium Metal Ltd,Not in UK ETS,Industry,Other industry," 3,799 ", -   , -   , -   , -   , -   , -   , -   ,  ,,  
BAE Systems - Glascoed,BAE Systems Global Combat Systems Munitions Ltd,Industry,Defense," 11,137 "," 9,491 "," 8,189 "," 8,369 "," 8,423 "," 7,790 "," 8,658 "," 9,113 "," 9,172 ",8662," 9,343 "
Bridgend Operation,WEPA UK Limited,Industry,Paper," 38,641 "," 38,143 "," 38,366 "," 35,416 "," 36,809 "," 37,732 "," 40,061 "," 41,810 "," 37,467 ",50364," 56,645 "
Cardiff IDC,Not in UK ETS,Industry,Data centre, 42 , 63 , 54 , 74 , 76 , 69 , 59 , 45 ,  ,,  
CELSA Manufacturing (UK) Ltd – New Melt Shop,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 44,598 "," 49,402 "," 51,432 "," 60,364 "," 48,228 "," 40,963 "," 46,650 "," 48,374 "," 48,149 ",40453," 31,724 "
CELSA Manufacturing (UK) Ltd – Rod & Bar Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 46,761 "," 45,240 "," 46,164 "," 45,858 "," 44,168 "," 45,951 "," 45,377 "," 42,090 "," 48,236 ",42506," 38,522 "
CELSA Manufacturing (UK) Ltd – Sections Mill,CELSA Manufacturing (UK) Limited,Industry,Iron & Steel," 24,440 "," 24,345 "," 24,137 "," 23,091 "," 23,985 "," 20,821 "," 23,543 "," 19,182 "," 21,855 ",20556," 18,253 "
Dolyhir Asphalt,Not in UK ETS,Industry,Other minerals," 5,705 "," 6,662 "," 6,357 "," 4,594 "," 4,970 "," 5,021 "," 4,451 "," 5,209 ",  ,,  
DOW CORNING COGEN PLANT,Not in UK ETS,Industry,Chemicals," 161,321 "," 166,082 "," 157,629 "," 158,669 "," 157,846 ", -   , -   , -   ,  ,,  
Dow Silicone Manufacturing Installation,Dow Silicones UK Limited,Industry,Chemicals," 22,605 "," 24,573 "," 22,469 "," 21,973 "," 21,623 "," 167,315 "," 151,422 "," 168,983 "," 146,115 ",117505," 124,666 "
Dragon LNG Terminal,Dragon LNG Ltd,Industry,LNG, 743 ," 165,457 "," 159,377 "," 166,602 "," 168,870 "," 174,828 "," 70,118 "," 81,933 "," 77,456 ",118410," 111,265 "
Felindre Compressor Station,National Grid Gas Plc,Industry,Compressor Station, 554 , 82 , 567 , 146 , 87 , 65 ," 9,052 "," 13,444 "," 6,838 ",28836," 13,074 "
First Milk - Haverfordwest Creamery,Not in UK ETS,Industry,Food & Drink, -   , -   , -   , -   , -   , -   , -   , -   ,  ,,  
Flint Site,Not in UK ETS,Industry,Paper," 15,459 "," 13,697 "," 13,562 "," 14,075 "," 13,721 "," 12,963 "," 13,227 "," 10,629 ",  ,,  
Ford Bridgend Engine Plant,Not in UK ETS,Industry,Vehicles," 13,574 "," 10,976 "," 9,771 "," 9,681 "," 9,161 "," 7,347 "," 4,086 ", -   ,  ,,  
KELLOGG COMPANY - WREXHAM,Kellogg Company of Great Britain Limited,Industry,Food & Drink," 19,106 "," 16,818 "," 16,130 "," 14,354 "," 15,596 "," 15,710 "," 16,038 "," 16,422 "," 15,892 ",14157," 11,098 "
Knauf Insulation Queensferry,Knauf Insulation Limited,Industry,Insulation," 26,402 "," 23,855 "," 22,644 "," 23,351 "," 31,443 "," 35,615 "," 34,776 "," 27,706 "," 34,863 ",32411," 30,858 "
Kronospan Ltd,Kronospan Ltd,Industry,Other industry," 98,725 "," 88,302 "," 76,962 "," 130,404 "," 104,298 "," 137,025 "," 136,959 "," 125,051 "," 152,231 ",127500," 139,563 "
Liberty Steel Newport Limited,Liberty Steel Newport Limited,Industry,Iron & Steel," 6,336 ", -   ," 3,919 "," 14,902 "," 28,772 "," 34,473 "," 20,356 "," 16,588 "," 20,276 ",4462, 373 
Llanwern Steelworks,Tata Steel UK Limited,Industry,Iron & Steel," 173,151 "," 207,097 "," 134,621 "," 48,236 "," 45,555 "," 46,045 "," 38,792 "," 30,082 "," 36,228 ",33662," 35,997 "
Machen Asphalt Plant,Not in UK ETS,Industry,Other minerals, -   , 890 ," 1,406 ", 567 , 86 , -   , -   , -   ,  ,,  
Magor Brewery,AB InBev UK Limited,Industry,Food & Drink," 17,519 "," 18,506 "," 18,180 "," 17,553 "," 21,358 "," 21,414 "," 19,570 ", -   ," 19,635 ",20543," 19,142 "
Mold Chemicals (Alyn Works),Synthite Limited,Industry,Chemicals," 6,567 "," 7,533 "," 7,800 "," 7,450 "," 7,647 "," 8,625 "," 8,618 "," 8,756 "," 9,572 ",9576," 9,047 "
Murco Petroleum Milford Haven Refinery,Not in UK ETS,Industry,Refining," 1,094,550 "," 407,068 ", -   , -   , -   , -   , -   , -   ,  ,,  
Nexperia Newport Limited,Nexperia Newport Limited,Industry,Other industry," 4,080 "," 2,912 "," 2,908 "," 2,759 "," 2,838 "," 3,169 "," 2,796 "," 10,039 "," 10,612 ",10413," 9,354 "
Orb Electrical Steels,Not in UK ETS,Industry,Iron & Steel," 24,307 "," 22,259 "," 21,470 "," 18,839 "," 20,969 "," 18,916 "," 16,948 ", 42 ,  ,,  
Padeswood Works,Hanson,Industry,Cement," 410,642 "," 510,192 "," 504,920 "," 533,248 "," 439,469 "," 553,353 "," 478,483 "," 447,678 "," 534,888 ",496271," 359,676 "
Point of Ayr Gas Terminal,Eni UK Limited,Industry,Gas Terminal," 55,713 "," 47,990 "," 63,873 "," 40,827 "," 51,420 "," 54,304 "," 53,946 "," 55,170 "," 40,447 ",23840," 13,114 "
Pont-y-Felin Insulation,Knauf Insulation Limited,Industry,Insulation," 19,621 "," 22,927 "," 24,529 "," 22,888 "," 23,512 "," 23,393 "," 28,743 "," 24,747 "," 28,347 ",25637," 23,856 "
Port Talbot Steelworks,Tata Steel UK Limited,Industry,Iron & Steel," 7,642,733 "," 8,285,955 "," 7,550,888 "," 6,558,464 "," 6,554,974 "," 5,814,379 "," 6,432,847 "," 6,069,842 "," 6,643,839 ",5673654," 5,706,594 "
RF Brookes Rogerstone Park,Not in UK ETS,Industry,Food & Drink, -   , -   , -   , -   , -   , -   , -   , -   ,  ,,  
Rockwool Bridgend,Rockwool Ltd,Industry,Insulation," 47,632 "," 50,376 "," 52,673 "," 51,248 "," 53,882 "," 75,075 "," 78,865 "," 75,557 "," 84,268 ",87446," 72,742 "
SCA Hygiene Products UK Ltd - Oakenholt Paper Mill,Essity UK Limited,Industry,Paper," 27,003 "," 24,534 "," 24,640 "," 25,608 "," 25,281 "," 24,762 "," 25,505 "," 24,806 "," 22,376 ",24318," 23,841 "
Shotton Mill Limited,Shotton Mill Limited,Industry,Paper," 40,641 "," 21,792 "," 11,735 "," 11,040 "," 13,621 "," 13,148 "," 16,625 "," 18,462 "," 12,319 ",12108," 13,669 "
Sofidel UK Baglan,Sofidel UK Limited,Industry,Paper," 20,954 "," 20,921 "," 20,519 "," 20,675 "," 21,425 "," 21,267 "," 21,715 "," 22,093 "," 20,750 ",19242," 18,440 "
Solutia Generating Plant,UK Power Reserve Limited,Industry,Chemicals, -   , -   , -   , -   , -   , -   , -   , -   ," 5,020 ",5806," 1,868 "
Solutia UK Limited - Newport,Solutia UK Limited,Industry,Chemicals," 38,919 "," 37,728 "," 32,103 "," 31,899 "," 34,880 "," 42,976 "," 48,491 "," 44,120 "," 44,426 ",39504," 35,678 "
South Hook LNG Terminal Company LTD.,South Hook LNG Terminal Company LTD.,Industry,LNG," 197,984 "," 246,575 "," 301,259 "," 223,458 "," 120,815 "," 60,723 "," 236,755 "," 256,171 "," 182,562 ",333291," 192,901 "
Tata Steel Colors,Tata Steel UK Limited,Industry,Iron & Steel," 71,423 "," 69,576 "," 67,112 "," 56,057 "," 54,887 "," 56,770 "," 55,760 "," 50,204 "," 55,478 ",50010," 49,843 "
Tata Steel Packaging Plus UK,Tata Steel UK Limited,Industry,Iron & Steel," 46,643 "," 47,969 "," 47,046 "," 45,104 "," 48,586 "," 46,473 "," 44,457 "," 45,023 "," 43,096 ",40408," 35,731 "
Torcoed Asphalt,Not in UK ETS,Industry,Other minerals," 4,733 "," 4,604 "," 4,131 "," 3,758 "," 3,321 "," 3,925 "," 3,722 "," 1,381 ",  ,,  
"Valero, Pembroke",Valero Energy Ltd,Industry,Refining," 2,266,201 "," 1,947,714 "," 2,409,698 "," 2,355,362 "," 2,227,788 "," 2,276,524 "," 2,161,067 "," 1,731,973 "," 1,583,183 ",2389437," 2,337,923 "
Volac International Ltd,Volac International Ltd,Industry,Food & Drink," 29,788 "," 20,862 "," 19,593 "," 10,226 "," 11,637 "," 9,853 "," 11,001 "," 10,982 "," 12,401 ",11953," 12,774 "
Warwick International Limited,Warwick International Limited,Industry,Chemicals," 26,158 "," 28,165 "," 26,917 "," 26,798 "," 26,407 "," 22,744 "," 20,641 "," 22,322 "," 20,227 ",17819, -   
Aberdare Generating Plant,UK Power Reserve Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   , -   , -   , -   , -   ," 6,106 ",6713," 1,679 "
Aberthaw Power Station,Not in UK ETS,Power Station,Power - Coal," 8,504,964 "," 6,038,198 "," 6,682,528 "," 5,910,278 "," 2,296,592 "," 495,388 "," 660,075 ", 235 ,  ,,  
Afan Way Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   , -   , -   ," 6,891 "," 7,178 "," 11,704 ",10557," 7,056 "
Baglan Bay Power Station,Not in UK ETS,Power Station,Power - Gas," 288,263 "," 619,573 "," 405,240 "," 900,350 "," 532,621 "," 349,518 "," 339,161 "," 25,023 ",  ,,  
BARRY POWER STATION,Not in UK ETS,Power Station,Power - Gas," 9,514 "," 7,401 "," 21,090 "," 2,480 "," 7,072 "," 3,578 ", 784 , -   ,  ,,  
Bartley Power,Bartley Power Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   , -   ," 1,679 "," 16,167 "," 16,984 "," 14,494 ",12300," 3,291 "
Brecon Power Station,Velox Power Limited,Power Station,Reserve power - Gas,,,,,,,,," 9,473 ",9787," 4,542 "
Cadoxton Power Station,Cadoxton Reserve Power Limited,Power Station,Reserve power - Gas, -   , -   , -   ," 3,945 "," 8,102 "," 6,886 "," 4,796 "," 2,892 "," 3,992 ",6751," 3,254 "
Clyne Power Station,Clyne Power Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 6,215 "," 3,549 "," 3,277 "," 5,055 "," 9,222 ",10274," 5,079 "
Connahs Quay Power Station,Uniper UK Limited,Power Station,Power - Gas," 779,233 "," 771,177 "," 1,104,678 "," 1,978,392 "," 1,032,450 "," 805,523 "," 886,409 "," 836,748 "," 1,076,178 ",1374027," 783,793 "
Culvery Power Station,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 1,410 "," 6,396 "," 4,197 "," 2,519 ",  ,,  
Cynon Power Station,Cynon Power Limited,Power Station,Reserve power - Gas, -   , -   , 228 ," 5,444 "," 7,799 "," 6,990 "," 4,773 "," 2,945 "," 4,451 ",7124," 3,894 "
Dafen Power station,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , 890 ," 4,278 "," 5,933 "," 5,636 "," 5,351 "," 5,567 ",  ,,  
Deeside Power Station,Not in UK ETS,Power Station,Power - Gas," 367,723 "," 291,518 "," 141,965 "," 248,853 "," 289,810 "," 145,298 ", -   , -   ,  ,,  
Docks Way Power Station,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 1,818 "," 5,807 "," 5,087 "," 4,853 ",  ,,  
Larigan Power Station,Larigan Power Limited,Power Station,Reserve power - Gas, -   , -   , -   ," 3,634 "," 8,754 "," 8,870 "," 8,904 "," 9,822 "," 10,835 ",11485," 9,305 "
"Magnox Ltd, Wylfa",Not in UK ETS,Power Station,Power for decommissioned nuclear, 547 ," 2,796 ", 947 ," 1,249 ", 729 , 90 , -   , -   ,  ,,  
Nevern Power Station,Nevern Power Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 1,863 "," 6,201 "," 4,349 "," 4,848 "," 9,361 ",10110," 4,527 "
Ogmore Power Station,Ogmore Power Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 4,462 "," 3,583 "," 3,590 "," 4,361 "," 9,491 ",8953," 3,620 "
Peak Gen Barry,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , 423 ," 1,559 "," 1,447 "," 2,068 "," 1,465 ", 502 ,  ,,  
Peak Gen Llandarcy,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , 423 ," 1,521 "," 2,158 "," 1,253 ", 711 , 422 ,  ,,  
Pembroke Power Station,RWE Generation UK plc,Power Station,Power - Gas," 3,879,335 "," 4,313,914 "," 3,991,210 "," 4,912,514 "," 4,447,649 "," 4,568,529 "," 4,280,280 "," 3,753,357 "," 4,993,364 ",5300997," 3,998,646 "
Rhymney Power - Embedded Reserve Plant,Not in UK ETS,Power Station,Reserve power - Gas," 1,192 "," 1,679 "," 1,817 "," 2,972 "," 4,438 "," 3,094 "," 2,628 "," 3,480 ",  ,,  
Severn Power Limited,Severn Power Limited,Power Station,Power - Gas," 931,074 "," 644,874 "," 433,278 "," 1,428,697 "," 1,500,909 "," 1,179,013 "," 716,347 "," 431,989 ", -   ,0," 14,509 "
South Cornelly,Not in UK ETS,Power Station,Reserve power - Gas, -   , -   , -   , -   , -   , -   , -   , -   ,  ,,  
St Asaph Power Station,St Asaph Power Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   , -   ," 2,822 "," 3,321 "," 3,012 "," 5,308 ",7686," 3,589 "
Tonypandy Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 4,302 "," 8,389 "," 4,007 "," 4,503 "," 9,447 ",7709," 2,713 "
Traston Road Power Station,UK Power Reserve Limited,Power Station,Reserve power - Gas, -   , -   , -   , -   ," 4,364 "," 5,772 "," 7,919 "," 4,953 "," 14,382 ",10986," 6,497 "
Uskmouth Power Plant,SIMEC Uskmouth Power Limited,Power Station,Power - Coal," 1,321,477 "," 303,643 "," 260,169 "," 462,434 "," 75,503 "," 2,448 ", 486 , 4 , 4 ,1, -   
,,,TOTAL," 29,261,379 "," 26,125,721 "," 25,433,046 "," 27,087,287 "," 21,143,271 "," 17,942,485 "," 17,801,948 "," 15,066,259 "," 16,587,156 "," 17,105,385 "," 14,717,422 "
